"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1823","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","5808","Empty basket opened from Product page has no products","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","901","Guest should see login link on Main page","tests","2026-07-24","passed","2026-07-24","TestMainPage","test_main_page","",""
"","6983","Guest see no messages on Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","993","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","5541","Authorized user see no messages on Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1950","Authorized user can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1754","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1393","Guest can go to Login page from Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","829","Guest should see login link on Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1515","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1843","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1940","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","924","Guest can go to Login page from Main page","tests","2026-07-24","passed","2026-07-24","TestMainPage","test_main_page","",""
"","2450","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1953","Guest can add product to basket","tests","2026-07-24","skipped","2026-07-24","TestProductPage","test_product_page","",""
"","1525","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","6536","Empty basket opened from Main page has no products","tests","2026-07-24","passed","2026-07-24","TestMainPage","test_main_page","",""
"","2152","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
